MasterID,HUC,SampleDate,SampleMonth,SampleYear,CollectionMethodCode,FieldReplicate,CSCI,Latitude,Longitude
520PS0199,520,2010-08-23T00:00:00Z,8,2010,BMI_RWB,2,1.01085826364799,39.71005,-121.73127
518PS0001,518,2008-07-28T00:00:00Z,7,2008,BMI_RWB,1,1.13367412981113,39.71025,-121.37971
518PS0001,518,2008-08-19T00:00:00Z,8,2008,BMI_RWB,1,0.95690836709436,39.71025,-121.37971
521WE0747,521,2001-09-07T00:00:00Z,9,2001,BMI_CSBP_Trans,1,1.03769482580387,39.71635,-121.63527
521WE0747,521,2001-09-07T00:00:00Z,9,2001,BMI_RWB,1,0.957021084416305,39.71635,-121.63527
521WE0747,521,2001-09-07T00:00:00Z,9,2001,BMI_TRC,1,1.14291135262617,39.71635,-121.63527
518CHCANF,518,2012-07-12T00:00:00Z,7,2012,BMI_RWB,1,1.09403074822247,39.7199,-121.4217
520CE0562,520,2005-06-23T00:00:00Z,6,2005,BMI_RWB,1,0.596012174509463,39.72083,-121.83833
520CE0562,520,2005-06-23T00:00:00Z,6,2005,BMI_TRC,1,0.644176628607561,39.72083,-121.83833
504PS0019,504,2008-06-30T00:00:00Z,6,2008,BMI_RWB,1,0.637005627432216,39.72855,-121.88105
520CE0706,520,2007-06-19T00:00:00Z,6,2007,BMI_RWB,1,0.911011777602989,39.73305,-121.81333
520CE0706,520,2007-06-19T00:00:00Z,6,2007,BMI_TRC,1,0.95023077074265,39.73305,-121.81333
504CBBLBW,504,2004-10-12T00:00:00Z,10,2004,BMI_RWB,1,0.849549336694153,39.744,-121.81648
